time_ist,security_id,instrument_name,best_bid,best_ask,spread,total_bid_qty,total_ask_qty,total_bid_orders,total_ask_orders,imbalance_ratio,,avg_bid_order_size,avg_ask_order_size,,bid_vwap,Bid Vwap change,ask_vwap,ask vwap change,bid_50pct_level,ask_50pct_level,order ratio,OIMBR,Bids Avg value,Ask avg value,ratio
15:21:48,49543,NIFTY DEC 2025 FUT,25961.2,25962.9,1.7,110325,107025,436,534,1.0308,0%,253.04,200.42,1.262548648,25929.92,0%,25988.91,0%,113,89,0.816479401,1.262493578,286.0718424,278.1463093,1.028494116
15:21:49,49543,NIFTY DEC 2025 FUT,25961.2,25962.9,1.7,110475,107025,437,534,1.0322,0%,252.8,200.42,1.261351163,25929.95,0%,25988.9,0%,113,89,0.81835206,1.261315332,286.4611226,278.1462023,1.029894064
15:21:49,49543,NIFTY DEC 2025 FUT,25961.2,25962.9,1.7,110850,107025,441,534,1.0357,0%,251.36,200.42,1.254166251,25929.78,-1%,25988.9,0%,111,89,0.825842697,1.254112925,287.4316113,278.1462023,1.033383196
15:21:49,49543,NIFTY DEC 2025 FUT,25961.2,25962.9,1.7,110550,107025,439,534,1.0329,0%,251.82,200.42,1.256461431,25929.76,0%,25988.9,0%,112,89,0.822097378,1.256420501,286.6534968,278.1462023,1.030585694
15:21:49,49543,NIFTY DEC 2025 FUT,25961.2,25962.9,1.7,110475,106950,438,533,1.033,0%,252.23,200.66,1.257001894,25929.74,0%,25988.87,0%,112,89,0.821763602,1.257052511,286.4588027,277.9509647,1.030609133
15:21:49,49543,NIFTY DEC 2025 FUT,25961.2,25962.9,1.7,110400,107850,437,538,1.0236,-1%,252.63,200.46,1.260251422,25929.6,-1%,25988.72,-1%,111,88,0.812267658,1.260175744,286.262784,280.2883452,1.021315331
15:21:50,49543,NIFTY DEC 2025 FUT,25961.2,25962.9,1.7,109200,107850,426,538,1.0125,-1%,256.34,200.46,1.278758855,25929.88,1%,25988.59,-1%,117,90,0.791821561,1.278697183,283.1542896,280.2869432,1.010230039
15:21:50,49543,NIFTY DEC 2025 FUT,25961.2,25962.9,1.7,109725,108000,431,540,1.016,0%,254.58,200,1.2729,25929.91,0%,25988.64,0%,115,90,0.798148148,1.272946636,284.5159375,280.677312,1.013676294
15:21:50,49543,NIFTY DEC 2025 FUT,25958.5,25958.9,0.4,114525,108600,468,537,1.0546,4%,244.71,202.23,1.210057855,25929.62,-1%,25988.19,-2%,106,94,0.87150838,1.210085897,296.9589731,282.2317434,1.052181337
15:21:50,49543,NIFTY DEC 2025 FUT,25958.5,25958.9,0.4,114675,109125,470,535,1.0509,0%,243.99,203.97,1.196205324,25929.64,0%,25987.85,-1%,106,93,0.878504673,1.196237234,297.3481467,283.5924131,1.048505295
15:21:51,49543,NIFTY DEC 2025 FUT,25958.5,25958.9,0.4,115200,109200,471,537,1.0549,0%,244.59,203.35,1.202803049,25930.47,3%,25988.01,1%,105,93,0.877094972,1.202720382,298.7190144,283.7890692,1.052609303
15:21:51,49543,NIFTY DEC 2025 FUT,25958.2,25958.9,0.7,114600,110700,467,534,1.0352,-2%,245.4,207.3,1.183791606,25930.46,0%,25987.39,-2%,107,90,0.874531835,1.183719058,297.1630716,287.6804073,1.032962496
15:21:51,49543,NIFTY DEC 2025 FUT,25958.2,25958.9,0.7,114975,108150,471,520,1.0631,3%,244.11,207.98,1.173718627,25930.55,0%,25988.2,3%,107,94,0.905769231,1.173698514,298.1364986,281.062383,1.060748491
15:21:51,49543,NIFTY DEC 2025 FUT,25960.1,25961.5,1.4,114300,107700,461,522,1.0613,0%,247.94,206.32,1.201725475,25930.93,1%,25988.62,2%,109,90,0.883141762,1.201732321,296.3905299,279.8974374,1.058925486
15:21:52,49543,NIFTY DEC 2025 FUT,25960,25961.5,1.5,114225,107400,460,519,1.0635,0%,248.32,206.94,1.199961341,25930.86,0%,25988.59,0%,108,91,0.886319846,1.199905435,296.1952484,279.1174566,1.061184965
15:21:52,49543,NIFTY DEC 2025 FUT,25961,25961.4,0.4,114225,107100,460,518,1.0665,0%,248.32,206.76,1.201005997,25930.91,0%,25988.66,0%,109,91,0.888030888,1.200971739,296.1958195,278.3385486,1.064156657
15:21:52,49543,NIFTY DEC 2025 FUT,25960.9,25961.4,0.5,113925,106275,456,515,1.072,1%,249.84,206.36,1.210699748,25931,0%,25988.79,1%,110,92,0.885436893,1.210701754,295.4189175,276.1958657,1.069599347
15:21:52,49543,NIFTY DEC 2025 FUT,25958.2,25958.5,0.3,114900,106500,467,515,1.0789,1%,246.04,206.8,1.189748549,25930.98,0%,25988.55,-1%,107,94,0.906796117,1.189793362,297.9469602,276.7780575,1.076483313
15:21:53,49543,NIFTY DEC 2025 FUT,25958.2,25958.5,0.3,114000,105450,463,512,1.0811,0%,246.22,205.96,1.195474849,25930.84,-1%,25988.56,0%,108,96,0.904296875,1.195514471,295.611576,274.0493652,1.078680025
15:21:53,49543,NIFTY DEC 2025 FUT,25958.2,25961,2.8,112500,105825,449,516,1.0631,-2%,250.56,205.09,1.221707543,25930.5,-1%,25988.83,1%,113,94,0.870155039,1.221736303,291.718125,275.0267935,1.060689838
15:21:53,49543,NIFTY DEC 2025 FUT,25958.2,25961.4,3.2,112575,105525,450,517,1.0668,0%,250.17,204.11,1.225662633,25930.52,0%,25989.1,1%,113,96,0.87040619,1.225634667,291.9128289,274.2499778,1.064404203
15:21:53,49543,NIFTY DEC 2025 FUT,25958.2,25961.4,3.2,112500,106200,449,518,1.0593,-1%,250.56,205.02,1.222124671,25930.51,0%,25988.94,-1%,113,93,0.866795367,1.222087751,291.7182375,276.0025428,1.056940398
15:21:54,49543,NIFTY DEC 2025 FUT,25959.6,25961.4,1.8,112875,106200,454,518,1.0629,0%,248.62,205.02,1.212662179,25930.66,1%,25988.94,0%,113,93,0.876447876,1.212736123,292.6923248,276.0025428,1.060469667
15:21:54,49543,NIFTY DEC 2025 FUT,25959.6,25961.4,1.8,112875,106125,454,517,1.0636,0%,248.62,205.27,1.211185268,25930.65,0%,25988.86,0%,113,93,0.878143133,1.21119207,292.6922119,275.8067768,1.061221973
15:21:54,49543,NIFTY DEC 2025 FUT,25959.6,25960.1,0.5,112500,106275,449,519,1.0586,0%,250.56,204.77,1.223616741,25930.66,0%,25988.91,0%,114,93,0.865125241,1.223637862,291.719925,276.197141,1.056201827
