time_ist,security_id,instrument_name,best_bid,best_ask,spread,total_bid_qty,total_ask_qty,total_bid_orders,total_ask_orders,imbalance_ratio,avg_bid_order_size,avg_ask_order_size,bid_vwap,ask_vwap,bid_50pct_level,ask_50pct_level
2025-12-29 14:17:59.012341,49543,NIFTY DEC 2025 FUT,25941.0,25943.3,2.3,111900,119100,514,580,0.9395,217.7,205.34,25914.91,25976.27,110,103
2025-12-29 14:17:59.409140,49543,NIFTY DEC 2025 FUT,25941.0,25943.3,2.3,105900,116625,495,576,0.908,213.94,202.47,25913.3,25975.22,121,98
2025-12-29 14:17:59.609938,49543,NIFTY DEC 2025 FUT,25941.0,25943.3,2.3,109875,120150,497,590,0.9145,221.08,203.64,25913.66,25975.96,110,99
2025-12-29 14:17:59.810170,49543,NIFTY DEC 2025 FUT,25941.0,25943.3,2.3,109425,117450,496,582,0.9317,220.61,201.8,25913.93,25975.06,111,95
2025-12-29 14:18:00.010442,49543,NIFTY DEC 2025 FUT,25941.0,25943.3,2.3,111225,121425,511,591,0.916,217.66,205.46,25913.92,25978.81,109,111
2025-12-29 14:18:00.210139,49543,NIFTY DEC 2025 FUT,25941.0,25943.3,2.3,111000,119250,512,563,0.9308,216.8,211.81,25914.41,25979.65,111,115
2025-12-29 14:18:00.613627,49543,NIFTY DEC 2025 FUT,25942.0,25943.8,1.8,111525,117150,506,550,0.952,220.41,213.0,25915.09,25980.27,112,120
2025-12-29 14:18:00.811731,49543,NIFTY DEC 2025 FUT,25942.0,25943.8,1.8,111300,115425,503,548,0.9643,221.27,210.63,25915.28,25980.68,114,121
2025-12-29 14:18:01.011376,49543,NIFTY DEC 2025 FUT,25942.0,25943.8,1.8,111750,112500,508,538,0.9933,219.98,209.11,25915.19,25978.4,111,114
2025-12-29 14:18:01.209538,49543,NIFTY DEC 2025 FUT,25942.0,25943.8,1.8,111750,112050,508,533,0.9973,219.98,210.23,25915.26,25978.32,112,115
2025-12-29 14:18:01.410600,49543,NIFTY DEC 2025 FUT,25942.0,25943.8,1.8,111675,109200,507,526,1.0227,220.27,207.6,25915.39,25983.5,113,119
2025-12-29 14:18:01.810997,49543,NIFTY DEC 2025 FUT,25942.0,25944.0,2.0,111675,112050,504,523,0.9967,221.58,214.24,25915.76,25981.84,114,121
2025-12-29 14:18:02.011762,49543,NIFTY DEC 2025 FUT,25942.0,25944.0,2.0,111750,111000,504,527,1.0068,221.73,210.63,25915.69,25979.06,115,113
2025-12-29 14:18:02.210843,49543,NIFTY DEC 2025 FUT,25942.0,25944.0,2.0,113850,116700,525,547,0.9756,216.86,213.35,25914.94,25980.49,110,121
2025-12-29 14:18:02.409733,49543,NIFTY DEC 2025 FUT,25942.0,25944.0,2.0,113100,117000,519,550,0.9667,217.92,212.73,25915.43,25980.45,109,120
2025-12-29 14:18:02.614878,49543,NIFTY DEC 2025 FUT,25942.0,25944.0,2.0,112275,112875,514,541,0.9947,218.43,208.64,25915.25,25978.5,110,113
2025-12-29 14:18:03.009642,49543,NIFTY DEC 2025 FUT,25942.0,25944.1,2.1,108975,121575,495,589,0.8964,220.15,206.41,25914.94,25979.94,115,112
2025-12-29 14:18:03.213900,49543,NIFTY DEC 2025 FUT,25942.0,25944.1,2.1,110625,122175,498,593,0.9055,222.14,206.03,25915.1,25979.78,114,110
2025-12-29 14:18:03.411293,49543,NIFTY DEC 2025 FUT,25942.0,25944.1,2.1,111075,118875,503,559,0.9344,220.83,212.66,25915.36,25979.82,114,114
2025-12-29 14:18:03.610948,49543,NIFTY DEC 2025 FUT,25942.0,25944.1,2.1,111225,119550,503,564,0.9304,221.12,211.97,25915.43,25979.78,114,112
2025-12-29 14:18:03.819004,49543,NIFTY DEC 2025 FUT,25942.0,25944.2,2.2,111300,119850,505,567,0.9287,220.4,211.38,25915.25,25979.85,113,112
2025-12-29 14:18:04.210438,49543,NIFTY DEC 2025 FUT,25942.0,25944.2,2.2,111675,115200,508,552,0.9694,219.83,208.7,25915.33,25977.87,111,113
2025-12-29 14:18:04.411402,49543,NIFTY DEC 2025 FUT,25942.0,25944.2,2.2,111750,116025,509,554,0.9632,219.55,209.43,25915.34,25977.63,111,111
2025-12-29 14:18:04.626097,49543,NIFTY DEC 2025 FUT,25942.0,25944.2,2.2,111975,120375,510,565,0.9302,219.56,213.05,25915.44,25979.49,112,111
2025-12-29 14:18:04.810595,49543,NIFTY DEC 2025 FUT,25942.0,25944.2,2.2,111825,120450,508,566,0.9284,220.13,212.81,25915.51,25979.51,113,111
2025-12-29 14:18:05.013643,49543,NIFTY DEC 2025 FUT,25942.0,25944.1,2.1,112275,115875,512,553,0.9689,219.29,209.54,25915.49,25977.72,112,112
2025-12-29 14:18:05.612427,49543,NIFTY DEC 2025 FUT,25942.0,25943.9,1.9,112650,115575,514,550,0.9747,219.16,210.14,25915.59,25977.8,112,112
2025-12-29 14:18:05.810970,49543,NIFTY DEC 2025 FUT,25940.0,25943.9,3.9,111375,120450,511,569,0.9247,217.95,211.69,25914.35,25979.46,110,111
2025-12-29 14:18:06.010818,49543,NIFTY DEC 2025 FUT,25940.0,25943.8,3.8,104250,115950,499,554,0.8991,208.92,209.3,25912.55,25977.31,117,111
2025-12-29 14:18:06.210823,49543,NIFTY DEC 2025 FUT,25940.0,25944.1,4.1,107250,121275,480,573,0.8844,223.44,211.65,25914.39,25979.14,115,111
2025-12-29 14:18:06.610718,49543,NIFTY DEC 2025 FUT,25940.0,25943.7,3.7,110025,115725,499,551,0.9507,220.49,210.03,25914.88,25977.73,115,113
2025-12-29 14:18:06.811788,49543,NIFTY DEC 2025 FUT,25940.0,25943.7,3.7,110175,116400,501,555,0.9465,219.91,209.73,25914.87,25977.57,115,110
2025-12-29 14:18:07.012598,49543,NIFTY DEC 2025 FUT,25940.0,25943.7,3.7,110250,120825,502,566,0.9125,219.62,213.47,25914.94,25979.35,115,111
2025-12-29 14:18:07.209895,49543,NIFTY DEC 2025 FUT,25940.0,25943.7,3.7,110550,115350,505,551,0.9584,218.91,209.35,25914.9,25977.8,113,112
2025-12-29 14:18:07.412937,49543,NIFTY DEC 2025 FUT,25940.0,25943.7,3.7,111150,116325,510,550,0.9555,217.94,211.5,25914.88,25977.29,112,111
2025-12-29 14:18:07.810558,49543,NIFTY DEC 2025 FUT,25940.0,25943.6,3.6,111750,116400,516,552,0.9601,216.57,210.87,25914.71,25977.38,112,110
2025-12-29 14:18:08.009668,49543,NIFTY DEC 2025 FUT,25940.0,25943.6,3.6,111600,114675,513,547,0.9732,217.54,209.64,25914.97,25977.94,112,113
2025-12-29 14:18:08.209784,49543,NIFTY DEC 2025 FUT,25940.0,25943.9,3.9,112350,114075,521,543,0.9849,215.64,210.08,25914.83,25977.9,111,114
2025-12-29 14:18:08.412460,49543,NIFTY DEC 2025 FUT,25939.7,25943.9,4.2,112425,112275,521,543,1.0013,215.79,206.77,25914.85,25976.84,111,112
2025-12-29 14:18:08.610436,49543,NIFTY DEC 2025 FUT,25940.0,25943.9,3.9,112500,112050,522,540,1.004,215.52,207.5,25914.86,25976.85,111,112
2025-12-29 14:18:09.011388,49543,NIFTY DEC 2025 FUT,25940.0,25943.8,3.8,113175,112650,525,546,1.0047,215.57,206.32,25914.66,25976.79,111,112
2025-12-29 14:18:09.210676,49543,NIFTY DEC 2025 FUT,25940.0,25943.0,3.0,113025,111975,523,535,1.0094,216.11,209.3,25914.67,25976.45,111,111
2025-12-29 14:18:09.411558,49543,NIFTY DEC 2025 FUT,25940.0,25943.0,3.0,112725,112125,523,537,1.0054,215.54,208.8,25914.9,25976.51,112,112
2025-12-29 14:18:09.609924,49543,NIFTY DEC 2025 FUT,25940.0,25943.0,3.0,112725,110775,523,519,1.0176,215.54,213.44,25915.19,25975.79,110,110
2025-12-29 14:18:09.810151,49543,NIFTY DEC 2025 FUT,25940.0,25943.0,3.0,113250,110925,530,520,1.021,213.68,213.32,25915.01,25975.96,108,110
2025-12-29 14:18:10.210165,49543,NIFTY DEC 2025 FUT,25940.0,25943.0,3.0,113025,112125,526,538,1.008,214.88,208.41,25915.26,25976.89,109,112
2025-12-29 14:18:10.409740,49543,NIFTY DEC 2025 FUT,25940.0,25943.0,3.0,113325,114675,528,544,0.9882,214.63,210.8,25915.32,25977.78,109,114
